word,variant_forms,abreviaturas,translation_value
achachaw,"['ačačaw', 'ačučuy']",['interj'],amz.
achachay,"['ačačay', 'ačačaw', 'atsatsay']",['in- terj'],expresión de frío.
achik,"['ačix', 'ačig', 'ači']",['s'],"luz, claridad, claro."
achikmama,"['ačikmama', 'ačimama']",['s'],S.
achikyana,"['ačixyana', 'ačigyana']",['v'],brillar.
achira,"['ačira', 'ačera', 'atsira']",['s'],achera.
achka,"['ačka', 'ačika', 'aška']",['adv'],"bastante, harto, mucho."
achupalla,"['ačupalya', 'ačupaža', 'ačupilya']","['s', 's']",achupalla.
akankaw,"['akaŋgaw', 'akaŋgu']",['s'],amz.
akcha,"['akča', 'axča', 'agča']",['s'],"pelo, cabello."
akichana,"['axičana', 'akičana']",['v'],s.
akirinri,"['axiriŋri', 'axiximbri', 'axikimbri']",['s'],jen- gibre.
akllana,"['aglyana', 'agžana', 'aŋlyana']",['v'],"elegir, escoger, seleccionar."
aklluna,['axlyuna'],['v'],tartamudear.
akma,"['agma', 'akma']",['adj'],sc.
aknina,"['agnina axnina', 'awnina']",['v'],eructar.
aksu,"['axsu', 'aksu']",['s'],tipo de falda.
aktuna,['axtuy'],['v'],ss.
akuna,['akuy'],['v'],sn.
ala,['ala'],['s'],amz.
alalay,"['alalay', 'alaw', 'alay', 'lay']",['interj'],"expre- sión de temor, miedo o lástima."
alama,"['alama', 'ala']",['s'],amz.
allana,"['alyana', 'ažana']",['v'],s.
allawka,['<*alyawka'],['s'],lado derecho.
alli,"['alyi', 'aši', 'aži']",['adj'],"bueno, bien."
allichina,"['alyčina', 'ažičina', 'aličina']",['v'],"arre- glar, componer, adornar, decorar, modificar, mejorar."
allikana,"['alyikana', 'ažikana', 'alikana']",['s'],"salud, bienestar."
allilla,"['alyilya', 'ažila']",['adv'],"cuidadosamente, con cuidado, despacio."
allimanta,"['alyimaŋta', 'alimanda']",['adv'],"cuida- dosamente, con cuidado, despacio, poco a poco."
alliyana,"['alyiyana', 'aliyana', 'ažiyana']",['v'],"sa- narse, curarse."
allku,"['alyku', 'alku', 'ažku', 'ačku', 'ašku']",['s'],perro.
allpa,"['alypa', 'alpa', 'ažpa', 'ačpa']",['s'],"tierra, polvo, terreno."
allpaka,['alypaka'],['s'],"alpaca, camélido an-dino."
allpamama,"['alypamama', 'alpamama']",['s'],"lugar donde se vive, la tierra."
yupaychana,['yupayčana'],['v'],agradecer; honrar.
yupi,['yupi'],['s'],"rastro, huella, pisada."
yura,"['yura', 'yula', 'ruya']",['s'],"árbol, mata, planta, vegetal."
yurak,"['yurax', 'yurag', 'yurug']",['adj'],blanco.
yurimawas,"['yurimawas', 'yurimas']",['s'],amz.
yutu,['yutu'],['s'],perdiz.
yuturi,"['yuturi', 'yutsuri']",['s'],amz.
yuyak,"['yuyax', 'yuyak', 'yuyik']",['adj'],adulto pen- sante.
yuyana,['yuyana'],['v'],pensar.
yuyarina,"['yuyarina', 'yarina']",['v'],"acordarse, re- cordar."
yuyay,['yuyay'],['s'],"pensamiento, idea, memo- ria."
yuyaychinkana,['yuyayčiŋgana'],['v'],perder el conocimiento.
yuyayyuk,"['yuyayyux', 'yuyayux']",['s'],amz.
